sku,brand,name,would_fix_by_map,map_primary
CR05011AM,RED DINGO,Correa lisa,no,
CR05016MA,RED DINGO,Correa lisa multiposición,no,
CL00075,SPRENGER,Collar eslabón largo,no,
PT05042SBT,RED DINGO,Petral Style,no,
CR05012LM,RED DINGO,Correa lisa,no,
PT05022NE,RED DINGO,Petral liso,no,
ADAP005,CEVA,Collar,no,
HU47878,HUNTER,Collar Vario Basic Alu - Strong,no,
CL03050MA,RED DINGO,Collar liso extra-ancho,no,
COA47313ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR VERDE S,no,
CL05012TQ,RED DINGO,Collar liso perro,no,
CR05012MO,RED DINGO,Correa lisa,no,
HU208464,HUNTER,COLLAR HAVANNA 30-45/M PLASTIC GREIGE,no,
HU67878,HUNTER,Pullover Malmö,no,
COATB05,COMPANY OF ANIMALS,Boomer ball,no,
JU03599,KONG,KONG Jumbler Ball,no,
CA04005MA,DGS,Dirty dog doormat,no,
PT05042SLR,RED DINGO,Petral Style,no,
COA90413A,PET HEAD,Quick Fix 2in1 champú,no,
PT05022NA,RED DINGO,Petral liso,no,
HU208611,HUNTER,SOFA LOPPA 60X40 CM POLYESTER BROWN,no,
CD00101LI,UNITED PETS,Recambio Bon Ton Nano,no,
KVP0020,KVP,Check,no,
HU208595,HUNTER,CUSHION DOG/CAT LOPPA 60 CM POLYESTER BROWN,no,
CR05011FX,RED DINGO,Correa lisa,no,
KVP0141,KVP,Bite Free,no,
CR04695AC,FLEXI,Correa Puppy cinta,no,
MFP285,MEN FOR SAN,Champú Aloe Vera,no,
HU66580,HUNTER,Comedero Anti - glotón Atlanta,no,
HU201807,HUNTER,Arnés Soho Mini,no,
JU03287,KONG,KONG Squiggles Assorted,no,
HU66684,HUNTER,Arnés Hilo Comfort,no,
HU65046,HUNTER,Cama Lancaster,no,
KVP0043,KVP,Saf-T-Clear,no,
HU208609,HUNTER,SOFA LOPPA 100X70 CM POLYESTER ANTHRACITE,no,
CR05013MA,RED DINGO,Correa lisa,no,
HU92089,HUNTER,Comedero de Melamina,no,
COA47112A,COMPANY OF ANIMALS,Halti anatomy arnés burdeos,no,
COA15412ZG1,COMPANY OF ANIMALS,Arnés halti antitirones,no,
HU68015,HUNTER,Arnés London Comfort Naranja,no,
KVP0040,KVP,Saf-T-Clear,no,
COA11240A,COMPANY OF ANIMALS,Bozal halti headcollar,no,
HU66074,HUNTER,Collar Aalborg,no,
HU64119,HUNTER,Collar Neopren Reflect,no,
CR05016BL,RED DINGO,Correa lisa multiposición,no,
COA90322A,PET HEAD,Ditch the Dirt acondicionador,no,
HU204928,HUNTER,Sofa Kumara 60x40 cm Polyester khaki,no,
PT05020NE,RED DINGO,Petral liso,no,
PT05053RJ,RED DINGO,Petral acolchado Red Dingo,no,
HU68923,HUNTER,Collar Convenience,no,
HU69765,HUNTER,Arnés Maldon Up,no,
HU42158,HUNTER,Collar Swiss,no,
COA18124ZG2,COMPANY OF ANIMALS,Bozal halti headcollar,no,
PT05052GR,RED DINGO,Petral acolchado Red Dingo,no,
VE04784NE,DGS,Impermeable Acacia Negro,no,
CL00207,SPRENGER,Collar eslabón retorcido,no,
JU03555,KONG,KONG Scrunch Knots Racoon,no,
HU68337,HUNTER,Collar Aalborg,no,
COA18153ZG2,COMPANY OF ANIMALS,Bozal halti headcollar,no,
HU204901,HUNTER,Comedero Luton,no,
CL05041SBT,RED DINGO,Collar Style,no,
HU67243,HUNTER,Collar Aalborg Special,no,
PT05062NE,RED DINGO,Petral No-Pull,no,
COA18154ZG2,COMPANY OF ANIMALS,Bozal halti headcollar,no,
HU67479,HUNTER,Arnés Hilo Comfort,no,
HU68894,HUNTER,Correa ajustable Hilo,no,
PT05054RJ,RED DINGO,Petral acolchado Red Dingo,no,
HU68089,HUNTER,Arnés London Comfort Antracita,no,
CL00073,SPRENGER,Collar eslabón largo,no,
HU201808,HUNTER,Arnés Soho Mini,no,
COA90233A,PET HEAD,Mucky Puppy spray,no,
HU69782,HUNTER,Arnés Maldon Up,no,
HU69810,HUNTER,Arnés Hilo Comfort,no,
HU69686,HUNTER,Collar Inari Alu - Strong,no,
CR05043SPB,RED DINGO,Correa Style,no,
CR05017RJ,RED DINGO,Correa lisa multiposición,no,
COA64620A,COMPANY OF ANIMALS,Baskerville classic basket bozal,no,
COA47115A,COMPANY OF ANIMALS,Halti anatomy arnés verde,no,
MFP029979,MEN FOR SAN,Champú árbol de té,no,
HU66073,HUNTER,Collar Aalborg,no,
HU208593,HUNTER,CUSHION DOG/CAT LOPPA 50 CM POLYESTER BROWN,no,
COA47201A,COMPANY OF ANIMALS,Halti anatomy correa multiposición,no,
HU69749,HUNTER,Abrigo Milford,no,
CR05014FX,RED DINGO,Correa lisa,no,
HU208601,HUNTER,SOFA LOPPA 80X60 CM POLYESTER WHITE,no,
HU208416,HUNTER,COLLAR HAVANNA 50/M PLASTIC BLACK,no,
MFP015,MEN FOR SAN,Champú pelo Negro,no,
HU67137,HUNTER,Arnés Hilo Comfort,no,
HU61803,HUNTER,Colchón Antibacterias Gent,no,
HU63138,HUNTER,Collar Convenience,no,
MFP055,MEN FOR SAN,Champú acondicionador,no,
JU03025,KONG,KONG Dental with rope,no,
HU66664,HUNTER,Arnés Hilo Comfort,no,
HU66054,HUNTER,Collar Aalborg,no,
COCOSI797,COCOSI,Estofado casero para perro de ternera,no,
JU03286,KONG,KONG Squiggles Assorted,no,
CL05012RJ,RED DINGO,Collar liso perro,no,
CL00690RO,SPRENGER,Sprenger biothane® correa corta 35cm rosa,no,
COA29360B,COMPANY OF ANIMALS,Carsafe Crash Tested Dog Harness,no,
CR05042SPR,RED DINGO,Correa Style,no,
HU69676,HUNTER,Abrigo Milford,no,
CR05017MO,RED DINGO,Correa lisa multiposición,no,
COA90433A,PET HEAD,Quick Fix spray,no,
HU203466,HUNTER,Abrigo Paxson,no,
HU68336,HUNTER,Collar Aalborg,no,
CR05016MO,RED DINGO,Correa lisa multiposición,no,
JU03455,KONG,KONG Tires,no,
HU69767,HUNTER,Arnés Maldon Up,no,
HU201796,HUNTER,Arnés Soho Mini,no,
HU208653,HUNTER,SOFA ORTHOPEDIC CORBIE 80X60 CM POLYESTER GREEN,no,
HU69789,HUNTER,Arnés Hilo Comfort,no,
PT05065RJ,RED DINGO,Petral No-Pull,no,
HU67601,HUNTER,Correa ajustable Hilo,no,
CL00344,SPRENGER,Collar eslabón corto,no,
HU69662,HUNTER,Abrigo Milford,no,
HU203460,HUNTER,Abrigo Paxson,no,
HU69500,HUNTER,Pullover Malmö,no,
PT05020LM,RED DINGO,Petral liso,no,
PT05053GR,RED DINGO,Petral acolchado Red Dingo,no,
COA29021B,COMPANY OF ANIMALS,Carsafe Dog Travel Harness,no,
COA15404ZG1,COMPANY OF ANIMALS,Arnés halti antitirones,no,
PT05041SPF,RED DINGO,Petral Style,no,
HU66666,HUNTER,Arnés Hilo Comfort,no,
CL00204,SPRENGER,Collar eslabón retorcido,no,
HU66625,HUNTER,Arnés Hilo Comfort,no,
CR05014LM,RED DINGO,Correa lisa,no,
YOWUP121,YOWUP,Chill PETFLURRY DOG DUCK ( Box 6 units),no,
